Date,Order_ID,Customer_ID,Product_Name,Product_Category,Region,Campaign,Sales_Channel,Customer_Segment,Website_Traffic,Acquisition_Rate,Retention_Rate,Churn_Rate,Customer_Satisfaction_Score,Lead_Time_Days,Efficiency_Rate,Raw_Material_Cost,Ad_Spend,Units_Produced,Units_Sold,Revenue,Cost,Profit
2025-06-16 15:31:54.919705,ORD-0001,CUST-3248,Dish_Soap,Hygiene,West,New_Product_Launch,Retail_Store,Returning,1608,0.09863896359975327,0.8450044287021711,0.23198788572613915,4,11,0.766919245582268,4.666272961748186,4354,719,806,5533.950230484215,7709.050259496946,-2175.1000290127304
2025-01-15 15:31:54.919705,ORD-0002,CUST-2709,Soap,Hygiene,West,Summer_Sale,Retail_Store,New,3931,0.08322077373550191,0.822064685658684,0.2579329878166461,3,7,0.8078177415393837,4.19249523913046,4416,407,226,2317.4628640384103,6122.345562326098,-3804.8826982876876
2025-08-05 15:31:54.919705,ORD-0003,CUST-8617,Soap,Hair_Care,West,Summer_Sale,Retail_Store,VIP,1584,0.11546370327217109,0.9004355681438333,0.09317238554728158,1,2,0.9344168939856629,3.0201161304088706,3608,396,718,4160.228313529519,4803.965987641913,-643.7376741123935
2025-07-31 15:31:54.919705,ORD-0004,CUST-4408,Shampoo,Hair_Care,East,Summer_Sale,Online,Returning,3297,0.17452505226018775,0.7008249510426169,0.2410017721279789,2,14,0.8806058439156844,4.528565342040864,1088,177,863,16547.690051434074,1889.5560655412328,14658.13398589284
2025-01-25 15:31:54.919705,ORD-0005,CUST-3821,Hand_Sanitizer,Hair_Care,North,Hygiene_Awareness,Retail_Store,Returning,3384,0.06628591824047798,0.8121722382141388,0.161146640652715,3,6,0.8201273767703321,4.446384059251439,653,517,838,4813.217162482284,2951.780558632994,1861.43660384929
2024-12-12 15:31:54.919705,ORD-0006,CUST-8713,Dish_Soap,Hair_Care,West,Hygiene_Awareness,Retail_Store,New,1155,0.094917009135949,0.7691177589084972,0.26127064105564113,4,3,0.7641453744766123,1.093272588499845,1804,569,437,4017.928389859493,2426.072102856412,1591.856287003081
2024-11-29 15:31:54.919705,ORD-0007,CUST-5235,Shampoo,Hygiene,North,New_Product_Launch,Online,New,1985,0.15466387055868758,0.9103997572923798,0.2328629833361524,3,16,0.7836024696684347,3.1170058973849293,4165,481,116,2223.1010012161437,5664.279836642151,-3441.1788354260075
2024-09-22 15:31:54.919705,ORD-0008,CUST-6521,Soap,Body_Care,North,Hygiene_Awareness,Online,New,4532,0.17957615946700028,0.8319906273330191,0.0672457039063854,2,13,0.871693015759565,2.947220351502709,542,557,880,6082.79553530097,2183.6017357870087,3899.1937995139615
2025-07-29 15:31:54.919705,ORD-0009,CUST-8323,Dish_Soap,Hygiene,East,Summer_Sale,Online,New,1706,0.06403310469914468,0.7515397785549045,0.056561656327627885,4,12,0.8664314736434662,3.1151833758975043,4386,282,218,2169.2831123728856,5264.481712003097,-3095.198599630211
2025-05-21 15:31:54.919705,ORD-0010,CUST-7031,Shampoo,Body_Care,West,Summer_Sale,Online,New,4416,0.08890478345544964,0.8119383881005734,0.10257119569400364,1,9,0.9164594353694373,1.4503707129896726,650,685,205,1824.125128996406,1643.5039383979256,180.62119059848033
2024-11-30 15:31:54.919705,ORD-0011,CUST-8165,Dish_Soap,Hygiene,North,Hygiene_Awareness,Wholesale,Returning,617,0.18836815155703945,0.9320639274320962,0.10256058326459949,3,4,0.8991809130256416,4.53857915205406,4408,163,551,6032.531178122766,5147.788401784812,884.7427763379537
2024-12-14 15:31:54.919705,ORD-0012,CUST-8403,Dish_Soap,Hair_Care,West,Summer_Sale,Wholesale,Returning,906,0.11664355197397126,0.8651413246892773,0.25828031493806625,4,13,0.949000880701935,2.3841821281993223,4651,139,477,8514.54712457114,4982.401315819706,3532.145808751434
2025-04-04 15:31:54.919705,ORD-0013,CUST-3243,Soap,Body_Care,South,New_Product_Launch,Online,Returning,4076,0.059283681671863375,0.88876827065057,0.28509514000508285,4,11,0.8762896620301739,3.3954983782345325,2013,858,181,3137.0318891644542,4926.337608525229,-1789.3057193607751
2025-08-08 15:31:54.919705,ORD-0014,CUST-9959,Dish_Soap,Hygiene,North,Hygiene_Awareness,Wholesale,New,4934,0.06853960638041477,0.860727074743921,0.11418057953105609,1,7,0.8993611834797187,2.0837874903501072,2654,359,512,4409.13999429005,3402.0797090356887,1007.0602852543611
2024-12-30 15:31:54.919705,ORD-0015,CUST-8925,Dish_Soap,Hygiene,South,Summer_Sale,Wholesale,New,3095,0.13708794498936439,0.9003487580117957,0.10978458142354264,3,8,0.7588611352173354,3.9856628341542164,2566,751,454,4549.529029058057,5559.232788449816,-1009.7037593917594
2025-08-02 15:31:54.919705,ORD-0016,CUST-9158,Dish_Soap,Hygiene,South,Hygiene_Awareness,Online,Returning,1725,0.18202462830498267,0.8129804001962708,0.07441711337440049,1,13,0.7706791088568937,1.364285047310513,1739,408,879,14241.537907671993,2295.6282993026894,11945.909608369304
