Month,Product_ID,Product_Name,Category,Produced_Units,Good_Units,Sales_Units,Revenue,COGS,Profit,Lead_Time_days,Efficiency_u_per_h,Inventory,MoM_Sales_pct,YoY_Sales_pct,MoM_LeadTime_pct,MoM_Eff_pct,Rolling_3m_Sales,MoM_Drop_Flag
2022-01-01,P001,MAK_SKU_01,Makeup,11382,11189,9876,217261.68,118395.57,75488.20999999999,9.0,104.072,2944.8,,,,,9876.0,False
2022-02-01,P001,MAK_SKU_01,Makeup,8991,8745,7848,156478.47,94205.55,42163.04,5.25,80.3125,3300.75,-0.20534629404617255,,-0.41666666666666663,-0.22829867783841962,8862.0,True
2022-03-01,P001,MAK_SKU_01,Makeup,8011,7812,7048,149610.15,83744.56,48015.19,6.5,83.02250000000001,3170.75,-0.1019367991845056,,0.23809523809523814,0.033743190661478684,8257.333333333334,True
2022-04-01,P001,MAK_SKU_01,Makeup,8398,8224,7692,167079.63,92116.55,54983.91,8.5,86.9675,2970.5,0.09137343927355279,,0.3076923076923077,0.04751723930259866,7529.333333333333,False
2022-05-01,P001,MAK_SKU_01,Makeup,10483,10157,9463,198584.71,107941.94,60522.31,6.8,84.21000000000001,4379.2,0.23023920956838273,,-0.20000000000000007,-0.03170724696007121,8067.666666666667,False
2022-06-01,P001,MAK_SKU_01,Makeup,9732,9524,9063,181247.96,106461.45999999999,52919.060000000005,9.25,109.5025,3789.5,-0.04226989326851949,,0.3602941176470589,0.3003503146894666,8739.333333333334,False
2022-07-01,P001,MAK_SKU_01,Makeup,9170,9000,7862,174072.7,97970.85,60507.159999999996,6.75,97.65,3688.25,-0.1325168266578396,,-0.2702702702702703,-0.10823953791009333,8796.0,True
2022-08-01,P001,MAK_SKU_01,Makeup,11471,11225,9903,218249.25,122478.11,71204.18,5.6,100.994,3198.0,0.25960315441363524,,-0.1703703703703704,0.034244751664106454,8942.666666666666,False
2022-09-01,P001,MAK_SKU_01,Makeup,9604,9302,8492,162412.96000000002,97208.92,44214.130000000005,3.0,100.1375,3393.25,-0.1424820761385439,,-0.4642857142857143,-0.008480701823870729,8752.333333333334,True
2022-10-01,P001,MAK_SKU_01,Makeup,12038,11929,10871,234681.77000000002,128624.84,82879.72,5.8,99.81,3600.4,0.28014601978332543,,0.9333333333333333,-0.0032705030582949046,9755.333333333334,False
