Month,Product_ID,Product_Name,Category,Produced_Units,Good_Units,Sales_Units,Revenue,COGS,Profit,Lead_Time_days,Efficiency_u_per_h,Inventory,MoM_Sales_pct,YoY_Sales_pct,MoM_LeadTime_pct,MoM_Eff_pct,Rolling_3m_Sales,MoM_Drop_Flag
2022-01-01,P010,MAK_SKU_10,Makeup,5984,5929,5659,288697.76,226410.06,26912.550000000003,7.8,50.38,2857.6,,,,,5659.0,False
2022-02-01,P010,MAK_SKU_10,Makeup,4605,4537,4230,228287.04,170159.06,30943.760000000002,3.75,51.775000000000006,2907.75,-0.25251811274076696,,-0.5192307692307692,0.027689559348948123,4944.5,True
2022-03-01,P010,MAK_SKU_10,Makeup,4362,4236,3749,202773.85,165135.36000000002,17133.559999999998,5.5,43.105000000000004,2764.0,-0.11371158392434988,,0.46666666666666656,-0.16745533558667314,4546.0,True
2022-04-01,P010,MAK_SKU_10,Makeup,4232,4131,3904,214953.14,150501.56,42116.34,5.75,43.625,2725.25,0.04134435849559881,,0.045454545454545414,0.01206356571163436,3961.0,False
2022-05-01,P010,MAK_SKU_10,Makeup,5833,5755,5117,273905.73,217333.75,30806.29,8.4,48.804,2543.4,0.31070696721311486,,0.4608695652173913,0.11871633237822343,4256.666666666667,False
2022-06-01,P010,MAK_SKU_10,Makeup,4499,4398,4167,223015.0,164747.41,27453.1,5.75,47.585,3118.5,-0.18565565761188196,,-0.31547619047619047,-0.024977460863863654,4396.0,True
2022-07-01,P010,MAK_SKU_10,Makeup,4385,4342,3719,200414.43,165051.93,13764.189999999999,7.75,43.355,2425.0,-0.10751139908807295,,0.34782608695652173,-0.0888935588946097,4334.333333333333,True
2022-08-01,P010,MAK_SKU_10,Makeup,5553,5481,4961,263826.73,202499.97,37881.42,6.6,48.822,3489.8,0.3339607421349826,,-0.1483870967741936,0.12609848921693012,4282.333333333333,False
2022-09-01,P010,MAK_SKU_10,Makeup,4802,4647,4151,233979.28,181501.03,34666.89,5.25,46.6925,2759.5,-0.16327353356178187,,-0.20454545454545447,-0.04361763139568231,4277.0,True
2022-10-01,P010,MAK_SKU_10,Makeup,5547,5458,4837,269813.25,202079.68,41368.08,6.4,48.176,3560.0,0.16526138279932545,,0.21904761904761916,0.031771697810140775,4649.666666666667,False
2022-11-01,P010,MAK_SKU_10,Makeup,4940,4865,4629,254768.19,182298.72,52543.59,5.0,51.1425,3274.25,-0.04300186065743228,,-0.21875,0.061576303553636524,4539.0,False
2022-12-01,P010,MAK_SKU_10,Makeup,5383,5310,4805,270600.43,202043.45,47464.34,6.0,50.015,3478.75,0.03802117087923951,,0.19999999999999996,-0.022046243339688076,4757.0,False
2023-01-01,P010,MAK_SKU_10,Makeup,4964,4885,4311,233557.06,178255.28,28775.54,7.4,42.08,2835.8,-0.10280957336108221,-0.23820462979324974,0.2333333333333334,-0.1586524042787164,4581.666666666667,True
2023-02-01,P010,MAK_SKU_10,Makeup,4310,4223,3603,192313.32,167594.85,5308.78,4.0,43.495,3104.25,-0.16423103688239382,-0.14822695035460998,-0.45945945945945954,0.03362642585551323,4239.666666666667,True
2023-03-01,P010,MAK_SKU_10,Makeup,4350,4259,4027,208096.08000000002,163711.44,18592.239999999998,5.25,44.87,2971.75,0.11767971135165145,0.0741531074953321,0.3125,0.03161282906081153,3980.3333333333335,False
2023-04-01,P010,MAK_SKU_10,Makeup,4493,4385,3983,202365.77000000002,166639.12,8423.58,7.0,50.1025,3160.5,-0.010926247827166669,0.020235655737705027,0.33333333333333326,0.11661466458658354,3871.0,False
2023-05-01,P010,MAK_SKU_10,Makeup,5355,5241,4781,251959.38999999998,200642.37,25001.4,6.6,44.594,3039.0,0.20035149384885775,-0.06566347469220246,-0.05714285714285716,-0.10994461354223839,4263.666666666667,False
2023-06-01,P010,MAK_SKU_10,Makeup,4361,4290,3923,217785.44,154993.11,39632.95,6.75,49.3825,3162.0,-0.17946036394059817,-0.05855531557475402,0.022727272727272707,0.10737991658070589,4229.0,True
2023-07-01,P010,MAK_SKU_10,Makeup,5540,5430,5038,285368.22,212317.63,43682.07,7.2,45.052,2511.2,0.2842212592403772,0.35466523258940574,0.06666666666666665,-0.08769300865691287,4580.666666666667,False
2023-08-01,P010,MAK_SKU_10,Makeup,4560,4519,3847,214755.38,170510.63,18667.73,7.75,48.755,3436.0,-0.2364033346566098,-0.22455150171336424,0.07638888888888884,0.08219390926041026,4269.333333333333,True
2023-09-01,P010,MAK_SKU_10,Makeup,4585,4461,4113,221184.81,169206.16999999998,28391.84,8.5,46.6325,2327.25,0.06914478814660785,-0.00915442062153693,0.09677419354838701,-0.04353399651317813,4332.666666666667,False
2023-10-01,P010,MAK_SKU_10,Makeup,5536,5439,4858,255780.06,205068.32,18274.43,4.8,45.694,3383.4,0.1811329929491856,0.004341534008682979,-0.43529411764705883,-0.020125448989438688,4272.666666666667,False
2023-11-01,P010,MAK_SKU_10,Makeup,4953,4852,4624,248307.0,185617.11,36575.729999999996,8.5,48.605,2830.75,-0.04816797035817211,-0.0010801468999783737,0.7708333333333335,0.06370639471265371,4531.666666666667,False
2023-12-01,P010,MAK_SKU_10,Makeup,5075,5024,4495,247038.73,184800.53999999998,39165.47,10.25,51.3575,2736.75,-0.02789792387543255,-0.06451612903225812,0.2058823529411764,0.05662997633988276,4659.0,False
2024-01-01,P010,MAK_SKU_10,Makeup,5376,5278,4824,242860.36,198110.21,16740.760000000002,7.6,46.962,2496.4,0.07319243604004444,0.1189979123173277,-0.25853658536585367,-0.08558633111035385,4647.666666666667,False
2024-02-01,P010,MAK_SKU_10,Makeup,4721,4549,4015,223345.23,175418.47,30478.47,3.25,49.7775,3733.5,-0.1677031509121062,0.1143491534832084,-0.5723684210526316,0.05995272773731952,4444.666666666667,True
2024-03-01,P010,MAK_SKU_10,Makeup,4825,4674,4154,225729.72,182946.92,22590.27,5.0,50.4375,2890.0,0.03462017434620179,0.03153712441023093,0.5384615384615385,0.013259002561398114,4331.0,False
2024-04-01,P010,MAK_SKU_10,Makeup,6459,6364,5591,302470.48,243360.92,33217.62,7.4,56.236000000000004,2664.8,0.3459316321617718,0.4037157921164951,0.48,0.11496406443618357,4586.666666666667,False
2024-05-01,P010,MAK_SKU_10,Makeup,4690,4598,3953,217117.4,175813.78,18378.69,7.5,54.345,2697.0,-0.292970846002504,-0.17318552604057724,0.013513513513513375,-0.0336261469521304,4566.0,True
2024-06-01,P010,MAK_SKU_10,Makeup,4443,4293,3987,207409.62,164043.21,14541.75,8.0,45.9725,3492.75,0.008601062484189237,0.016314045373438724,0.06666666666666665,-0.15406201122458374,4510.333333333333,False
2024-07-01,P010,MAK_SKU_10,Makeup,5756,5592,5471,275594.73,217650.11,20474.14,8.6,47.606,2909.2,0.3722096814647604,0.08594680428741563,0.07499999999999996,0.03553211158844971,4470.333333333333,False
2024-08-01,P010,MAK_SKU_10,Makeup,4858,4799,4537,230782.49,185731.43,19620.670000000002,3.5,49.6775,2288.75,-0.17071833302869677,0.17936054068105012,-0.5930232558139534,0.04351342267781377,4665.0,True
2024-09-01,P010,MAK_SKU_10,Makeup,5167,5054,4546,245583.66999999998,197463.72999999998,13992.98,5.0,43.754,3373.2,0.0019836896627727363,0.10527595429127157,0.4285714285714286,-0.11923909214433104,4851.333333333333,False
2024-10-01,P010,MAK_SKU_10,Makeup,4620,4562,4210,231142.42,174011.41,36750.56,6.5,47.275,3902.75,-0.07391113066432031,-0.13338822560724573,0.30000000000000004,0.08047264250125696,4431.0,False
2024-11-01,P010,MAK_SKU_10,Makeup,5174,5071,4232,226725.66999999998,196577.66,6555.950000000001,5.5,57.9025,4749.25,0.005225653206650804,-0.08477508650519028,-0.15384615384615385,0.2248016922263354,4329.333333333333,False
2024-12-01,P010,MAK_SKU_10,Makeup,6815,6714,6655,339258.5,248998.51,59467.69,5.6,56.362,3765.4,0.5725425330812854,0.48053392658509453,0.018181818181818077,-0.026605068865765746,5032.333333333333,False
