Month,Product_ID,Product_Name,Category,Produced_Units,Good_Units,Sales_Units,Revenue,COGS,Profit,Lead_Time_days,Efficiency_u_per_h,Inventory,MoM_Sales_pct,YoY_Sales_pct,MoM_LeadTime_pct,MoM_Eff_pct,Rolling_3m_Sales,MoM_Drop_Flag
2022-01-01,P007,HAI_SKU_07,Haircare,10496,10233,8667,203747.6,162865.8,11035.07,4.8,87.182,3417.0,,,,,8667.0,False
2022-02-01,P007,HAI_SKU_07,Haircare,7755,7508,7043,168324.59,121441.92,26768.3,5.5,81.3575,2329.25,-0.1873774085612092,,0.14583333333333348,-0.0668085155192586,7855.0,True
2022-03-01,P007,HAI_SKU_07,Haircare,9372,9262,8738,202347.41999999998,152803.07,26611.559999999998,7.0,101.0025,3454.5,0.24066448956410613,,0.2727272727272727,0.24146513843222817,8149.333333333333,False
2022-04-01,P007,HAI_SKU_07,Haircare,8633,8516,7922,191827.56,132772.56,31276.39,7.25,80.3025,2668.25,-0.0933852140077821,,0.03571428571428581,-0.20494542214301625,7901.0,False
2022-05-01,P007,HAI_SKU_07,Haircare,11689,11390,9794,227794.01,178137.34999999998,25920.670000000002,6.4,101.268,3805.8,0.23630396364554396,,-0.11724137931034473,0.26108153544410206,8818.0,False
2022-06-01,P007,HAI_SKU_07,Haircare,8866,8609,7579,174775.44,135569.47,18368.78,9.0,95.4075,3407.75,-0.22615887277925262,,0.40625,-0.057871193269344756,8431.666666666666,True
2022-07-01,P007,HAI_SKU_07,Haircare,9108,8886,7963,191444.95,139441.97999999998,30246.449999999997,6.75,87.41,3667.0,0.05066631481725814,,-0.25,-0.08382464690931013,8445.333333333334,False
2022-08-01,P007,HAI_SKU_07,Haircare,10057,9802,9534,186589.06,157908.38,-1441.2000000000007,7.2,76.77000000000001,3584.6,0.19728745447695584,,0.06666666666666665,-0.12172520306601065,8358.666666666666,False
2022-09-01,P007,HAI_SKU_07,Haircare,8862,8782,7721,175730.47,140074.77000000002,14135.56,4.25,85.4725,3178.75,-0.1901615271659325,,-0.4097222222222222,0.11335808258434255,8406.0,True
2022-10-01,P007,HAI_SKU_07,Haircare,11568,11333,10011,233264.22999999998,172921.41,35907.54,6.0,100.31800000000001,3533.6,0.296593705478565,,0.41176470588235303,0.1736874433297262,9088.666666666666,False
2022-11-01,P007,HAI_SKU_07,Haircare,11342,11059,10745,227928.73,180922.88,19928.71,7.0,114.9475,3422.0,0.07331934871641188,,0.16666666666666674,0.1458312566039992,9492.333333333334,False
2022-12-01,P007,HAI_SKU_07,Haircare,11584,11245,10253,244255.4,187152.28,30904.78,5.5,115.4125,3842.5,-0.04578873894834812,,-0.2142857142857143,0.004045325039691905,10336.333333333334,False
