Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount,Month,Year,Quarter,Weekly_Target,Target_Achieved,Rolling_4w_Sales,Rolling_13w_Sales,MoM_Sales_pct,YoY_Sales_pct,Rolling_4w_Eff,Weeks_of_Inventory,Fill_Rate_est,Acq_Month,anomaly_score,is_anomaly
2022-01-03,0,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,None,977,941,925,29,52.58,35.67,430.86,34892.68,3718.63,3327.14,958.86,48636.5,5739.19,0.118,8,5.51,39.5,0.0359,0.0324,2102,0,42,0.6589,27.6,6.76,False,0.0,2022-01-01,2022,2022-01-01,942,0.9819532908704883,925.0,925.0,,,39.5,2.2724324299757486,1.0,2022-01-01,0.22774729385562753,False
2022-01-10,1,P001,SKI_SKU_01,Skincare,East,E-commerce,LineB,None,770,764,790,0,53.67,33.25,401.17,25642.62,398.26,2561.49,571.59,42399.3,13225.34,0.3119,12,6.19,32.02,0.007,0.0,1830,12,39,0.6843,36.9,7.0,False,0.0,2022-01-01,2022,2022-01-01,942,0.8386411889596603,857.5,857.5,,,35.760000000000005,2.316455693270309,0.9848101266015061,2022-01-01,0.2111168840915711,False
2022-01-17,2,P001,SKI_SKU_01,Skincare,Central,Retail,LineC,None,791,775,708,3,53.95,35.62,310.07,28206.43,667.87,962.25,801.74,38196.6,7558.31,0.1979,7,9.01,37.27,0.02,0.0051,1834,0,35,0.7624,16.5,6.79,False,0.0,2022-01-01,2022,2022-01-01,942,0.7515923566878981,807.6666666666666,807.6666666666666,,,36.263333333333335,2.590395476567238,1.0,2022-01-01,0.21783949062114466,False
2022-01-24,3,P001,SKI_SKU_01,Skincare,West,Retail,LineA,SummerSale,897,881,826,10,54.74,31.43,618.93,28254.6,1191.87,1411.04,844.38,45215.24,13513.35,0.2989,4,0.53,30.2,0.0177,0.0132,4269,0,26,0.6972,48.1,8.65,False,0.0,2022-01-01,2022,2022-01-01,942,0.8768577494692145,812.25,812.25,,,34.7475,5.168280865413704,1.0,2022-01-01,0.16256596253061223,False
2022-01-31,4,P001,SKI_SKU_01,Skincare,East,Retail,LineB,NewLaunch,803,803,759,10,55.58,35.19,448.88,28302.46,297.21,2668.44,573.85,42185.22,10343.26,0.2452,2,10.86,41.42,0.0,0.0136,4326,0,68,0.6325,37.3,6.33,False,0.0,2022-01-01,2022,2022-01-01,942,0.8057324840764332,770.75,801.6,-0.1794594594594595,,35.227500000000006,5.699604735573644,1.0,2022-01-01,0.15532287041994608,False
2022-02-07,5,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1158,1129,1101,2,58.21,32.47,585.95,37658.85,3223.12,2601.91,356.6,64089.21,20248.73,0.3159,8,4.65,45.26,0.025,0.0025,3897,0,71,0.7071,51.2,6.45,False,0.0,2022-02-01,2022,2022-01-01,942,1.1687898089171975,848.5,851.5,0.39367088607594947,,38.5375,3.5395095335699276,1.0,2022-02-01,0.22830646007697997,False
2022-02-14,6,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineB,None,796,789,815,1,57.12,31.56,522.97,25174.06,2963.04,2010.3,842.31,46552.8,15563.09,0.3343,6,4.79,31.27,0.0086,0.0013,3112,10,59,0.8408,38.9,6.28,False,0.0,2022-02-01,2022,2022-01-01,942,0.8651804670912951,875.25,846.2857142857143,0.15112994350282483,,37.0375,3.818404903290301,0.9877300613647484,2022-02-01,0.21360773554117357,False
2022-02-21,7,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineA,NewLaunch,891,871,898,9,53.34,31.48,439.26,28092.61,1843.33,2905.03,417.51,47899.32,14640.84,0.3057,9,8.05,40.16,0.0223,0.0111,2864,14,55,0.7127,35.9,6.89,False,0.0,2022-02-01,2022,2022-01-01,942,0.9532908704883227,893.25,852.75,0.0871670702179177,,39.5275,3.189309573285847,0.9844097995719268,2022-02-01,0.23502416400204118,False
2022-02-28,8,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,1004,1004,944,24,53.81,34.86,504.01,35049.84,2211.74,1302.97,907.26,50796.64,11324.83,0.2229,7,8.11,45.36,0.0,0.0262,2529,0,29,0.641,22.2,8.42,False,0.0,2022-02-01,2022,2022-01-01,942,1.0021231422505308,939.5,862.8888888888889,0.243741765480896,,40.5125,2.679025420890863,1.0,2022-02-01,0.20150517793908973,False
2022-03-07,9,P001,SKI_SKU_01,Skincare,North,Retail,LineA,None,774,774,715,23,51.59,32.58,351.4,25252.06,3709.93,1578.27,1150.29,36886.85,5196.3,0.1409,9,3.66,29.12,0.0,0.0325,3666,0,64,0.6151,36.2,6.99,False,0.0,2022-03-01,2022,2022-01-01,942,0.7590233545647559,843.0,848.1,-0.35059037238873747,,36.4775,5.1272727201017165,1.0,2022-03-01,0.19178942488255707,False
